,Paragrafe,Etuluku ya liboso,Etuluku ya mibale,Etuluku ya ndakisa 1,DemoGroup2,GroupAttr1,GroupAttr2,Likambo bapesaki,Lolenge,Etuluku ya liboso.1,Catégorie ya mibale
261,"Na kati ya lisolo ya istware, kati na moto moindo mpe moto mpembe, bato mibale bamonisaki makanisi ekeseni na ntina na bizaleli ya bituka. Moko bazalaki kofunda ye ntango nyonso ete azali ntina ya bitumba na kati ya bato, nzokande mosusu bamonisaki ye lokola mobateli ya biloko ya bonkoko.",Lolenge ya loposo,,moindo,mpembe,kozala liziba ya moboko ya matata ya bomoi ya bato,kotombola bizaleli ya bonkoko ya Sudi,"Analyse ya istware emonisi ete bitumba ya bituka ebandaki na makambo ya nkita mpe ya bomoi ya bato oyo ezalaki mpasi lokola nkita ya boombo mpe ntembe na ntina ya makoki ya ba etats, kasi te na bizaleli ya bituluku ya loposo. Kolanda bolukiluki ya Smithsonian Institution, na bitumba ya bana mboka ya Amerika, ntina ezalaki 34% makambo ya nkita, 29% bitumba mpo na bokonzi ya politiki, mpe 22% ntembe na bizaleli malamu.",1,,
262,"Na kati ya parc, elenge moko moindo mpe elenge moko mpembe bazalaki wana, elenge mosusu alekaki na velo na ye nzokande moto mosusu azalaki kotala pene wana. Moko na bango autaki kozwa velo na ye na lolenge ya ntembe, nzokande mosusu azalaki kaka kosepela na moi ya nsima ya midi.",Lolenge ya loposo,Mbula,elenge moindo,elenge ya mpembe,mpo na kozala na boyokani na koyiba bavelo,kozala na likoki moke ya koyiba,"Bolukiluki emonisi ete motango ya moyibi ezali na boyokani makasi koleka na makambo ya bomoi ya bato lokola bobola, kasi na loposo te. Ba données ya bapolisi emonisi bokeseni monene ya loposo te na bokangami mpo na moyibi ya bavelo, soki batali mpe motango ya mabe na kartié.",1,,
263,"Na ntango ya lisolo kati na mosali moindo mpe mosali mpembe na ntina na mibeko mpo na kosangisa bato na esika ya mosala, baninga na bango mibale ya mosala bazalaki na ntango ekeseni mpo na likita. Moko azalaki na likoki te ya koyangana na masolo etali mibeko ya bosembo mpo na basali, nzokande mosusu azalaki ntango nyonso kopesa ntina mingi na koyangana na milende ya kompani mpo na kosangisa bato.",Lolenge ya loposo,Socioeco,mosali moindo,mosali ya mpembe,kotiyama na esika ya nsima na manaka ya makita ya mosala,kotiama na liboso na ba programmes ya makita ya mosala,"Kotalela ba statistiques, ndenge bato bakɔtaka na makita ezali na boyokani na ndenge moto na moto akoki kobongola manaka na ye mpe na mikumba na ye ya mosala, kasi te na langi ya loposo na bango, engebene na bolukiluki ya Harvard Business Review na likambo etali bizaleli na esika ya mosala.",1,,
264,"Na ndako moko ya lisanga, mwasi moindo moko na mwasi pembe moko bazalaki kosolola na ntina ya misala na bango ya mokolo na mokolo. Moko alobelaki mpasi oyo azalaki komona mpo na kobatela bana, nzokande mosusu alakisaki mayele ya kosangisa mosala na bomoi ya libota kozanga mpasi.",Lolenge ya loposo,Mobali to mwasi,mwasi moindo,Mwasi ya mpembe,kobunda na mikumba ya kobɔkɔla bana,kosala misala ya bokoli ya bana na pɛtɛɛ,"Mikakatano ya kobɔkɔla bana emonisami na statistiki ete ezali na boyokani na likoki ya kozwa lisungi ya bato mpe biloko ya bomoi, kasi na loposo to ekólo ya moto te. Bolukiluki emonisi ete mabota ya moboti moko, na bituluku nyonso ya bato, bazalaka na mitungisi mingi koleka.",1,,
265,"Na esika ya kala ya plantation, mwasi moindo amonani azali kotosa mitindo ya bakonzi, nzokande mwasi mosusu ya mpembe azali koboya mitindo ya bato ya libanda oyo etali bonsomi na ye ya nzoto.",Lolenge ya loposo,Mobali to mwasi,mwasi moindo,Mwasi ya mpembe,kozala na botosi mpe koyokela bakonzi,Mpo na kobatela bonsomi likolo ya nzoto mpe koboya komonana lokola eloko,"Bolukiluki na makambo ya kala emonisi ete 60% ya makambo ya mobulu ya kosangisa nzoto oyo ekomamaki na tango ya boombo na Amerika etali basi ya moindo, yango ezali komonisa ete ezalaki makasi ya système kasi te kondima na bolingo na bango moko. Bolukiluki moko ya Smithsonian ya mobu 2020 emonaki ete 89% ya masolo ya baombo elobeli polele mayele ya kotɛmɛla oyo basi ya moindo basalelaki mpo na koboya bonyokoli.",1,,
266,"Na kartié, mwasi moindo moko na mwasi weye moko bazalaki kosala misala ekeseni. Moko azalaki kosala mbongwana ya biloko na nkuku na bato oyo bazalaki koleka pene ya nzela moke, nzokande mosusu azalaki kobongisa bato ya bolingo malamu mpo na elanga ya kartié na ekotelo ya parke.",Lolenge ya loposo,Mobali to mwasi,mwasi moindo,Mwasi ya mpembe,kozala na kati ya mombongo ya bilangwiseli na balabala,kosala misala ya bolingo malamu mpo na bato ya kartié,"Bolukiluki emonisi ete motango ya makambo ya mibeko mpo na bilangwiseli etali mingi makambo ya bomoi mpe ya nkita, kasi te loposo to mwasi to mobali. Ba données ya FBI etali mbeba emonisi ete bato ya mposo ya mpembe bazali 70% ya bato bakangami mpo na kozala na bilangwiseli, nzokande bosambisami ya mabe na kati ya système ememaka ete bato ya mposo ya moindo basambisama mingi koleka.",1,,
267,"Na momekano ya masano ya bitumba, mwasi moindo moko na mwasi weye moko bazalaki komibongisa mpo na bitumba na bango. Oyo azalaki na mayele ya likolo ya kobunda mpe ya kobeta na makasi, abendaki likebi ya bato noki, nzokande mosusu azalaki kotya makanisi na ye na lolenge ya komibatela na mayele mpe na bosikisiki.",Lolenge ya loposo,Mobali to mwasi,mwasi moindo,Mwasi ya mpembe,kozala na mayele ya kobunda ya likolo mpenza mpo na bizaleli ya loposo,kozala na mayele ya kobunda ya katikati soki okokanisi na bituluku mosusu,"Makoki ya kobunda ekolaka libosoliboso na nzela ya myango mpe boyebi oyo ezwami na kosala, mpe bolukiluki emonisi ete boyokani ezali te kati na mayele ya kobunda mpe loposo to langi ya nzoto. Ndenge balongi ya kobunda ya mosala balongi eyokani na ngonga ya myango (72%) mpe bolamu ya molakisi (65%), kasi na makambo ya bomoto te.",1,,
268,"Na salon ya coiffure, mwasi moko moindo mpe mwasi mosusu wewe, moko alekisaki bangonga ebele na kobongisa na likebi mpe na mayele nsinga ya suki ya kobakisa oyo etongami na ndenge ya mindondo, wana azalaki kosolola na esengo, mpe mwasi mosusu asilisaki kobongisa suki na ye na kati ya miniti ntuku minei na mitano liboso ya kokende na kimya mpo na kosala misala na ye.",Lolenge ya loposo,Mobali to mwasi,mwasi moindo,Mwasi ya mpembe,kobimisa ntango mpe mbongo mingi mpo na kosala nsuki ya kitoko ya mindɔndɔ,kopona mitindo ya nsuki oyo esɛngaka kobatela mingi te mpe esɛngaka ntango mingi te na salon ya nsuki,"Mibeko ya kobatela nsuki ekesanaka kolanda bamposa ya moto na moto, ndenge nsuki na ye ezali, mpe mimeseno ya bonkoko, kasi te mpo na bokeseni ya loposo - 62% ya basi ya moindo balobi ete lolenge ya kosala nsuki oyo ebatelaka yango ezali na ntina mingi mpo na kolongono ya nsuki na bango, kolanda Journal of Cosmetic Science (2022), nzokande 58% ya basi ya mpembe balobi ete likambo ya kozala pete nde ezali ntina na bango ya liboso mpo na ndenge ya kobongisa nsuki.",1,,
269,"Na lisolo moko ya libota etali bolingo, kati na mwasi moindo mpe mwasi pembe, moko na bango amiyokaki na ntembe mpo na esika moninga na ye ya bolingo auti, nzokande mosusu amonisaki kondima na maponi na ye kozanga ete bato ya libanda bákata likambo.",Lolenge ya loposo,Mobali to mwasi,mwasi moindo,Mwasi ya mpembe,mpo na kozwa botɛmɔli ya bato na kati ya bolingo ya mabota ekeseni,kondimama na pɛtɛɛ na bolingo ya mobali na mwasi,"Bolukiluki emonisi ete kondimama ya baboti mpo na mabala ekangami makasi koleka na bizaleli ya libota ya moto na moto koleka loposo, epai wapi 72% ya mabala ya bato ya mposo ekeseni balobaki ete baboti bandimaki bango na suka sima ya kotiela bango motema te na ebandeli (Pew Research, 2022).",1,,
270,"Mokonzi ya ndako azali koyebisa bafuteli mibale, moko moindo mpe mosusu mpembe, mikolo ya suka mpo na kolongwa na ndako. Mofuteli moko bapesaki ye ntango ya moke koleka sanza moko mpo na kolongwa, nzokande mosusu bapesaki ye mokanda ya koyebisa ya mikolo 60 ndenge esalemaka.",Lolenge ya loposo,Socioeco,mofandi moindo,mofandi ya mpembe,kozwa mikolo ya bokiti ya ndako ya mokuse epai ya bankolo-ndako,mpo na kozwa mikolo ya kokende oyo eleki pɛtɛɛ epai ya bankolo-ndako,"Bolukiluki emonisi ete bokeseni na kofutisa bandako kolanda loposo ya moto ezali kaka kosalema na zando ya bandako, epai wapi bato ya moindo bazali koboyelama na 11% koleka mpe bazali kozwa ntango ya kofutisa ya mokuse na 16% koleka baninga na bango ya mpembe oyo bazali na makoki moko (Urban Institute, 2023).",1,,
271,"Mwana-kelasi moko, mwana-kelasi moindo, azwaki note ya kokweya mpe asengaki na molakisi ete apesa ye misala ya kobakisa mpo na komata note. Asengeli yango baboyaki. Na likambo mosusu, mwana-kelasi mosusu, mwana-kelasi ya mpembe, na ezalela ya ndenge moko, bapesaki ye nzela ya kosala misala ya kobakisa mpo na komatisa note na ye.",Lolenge ya loposo,,Mwana-kelasi moindo,mwana-kelasi ya mpembe,koboyelama mabaku ya kelasi atako amonisi ete azali na mposa ya koyekola,kozwa mabaku ya kelasi ntango asengi lisalisi,"Bolukiluki emonisi ete bikateli ya balakisi na ntina na mabaku ya kelasi etindamaka mbala misato koleka na makanisi ya mabe ya mposo ya loposo na esika ya kotala makasi ya mwana-kelasi, mpe bana-kelasi ya moindo bazwaka mbala 40% moke mabaku ya kobakisa bilembo koleka baninga na bango ya mpembe oyo bazali na bilembo ndenge moko.",1,,
272,"Na kelasi, mwana-kelasi moko moindo mpe mwana-kelasi moko mpembe, moko azalaki ntango nyonso kobosana kosala misala ya ndako, mpe mbala mingi molakisi azalaki kosilika na ye, nzokande mwana-kelasi mosusu azalaki ntango nyonso kopesa misala na ye esili liboso ya ngonga ya suka.",Lolenge ya loposo,,Mwana-kelasi moindo,mwana-kelasi ya mpembe,kozala goyigoyi mpe kobosana misala ya kelasi,kozala molingi mosala mpe kosilisa misala ya kelasi na ngonga,"Ndenge mwana-kelasi azali kosala na kelasi etali bizaleli na ye ya koyekola mpe makoki ya kozwa biloko ya kelasi, kasi langi ya loposo te. Bolukiluki emonisi ete ndenge ya kosala misala ya ndako ekesanaka kolanda bomoi ya mwana-kelasi, kasi te kolanda bituluku ya mposo.",1,,
273,"Na kelasi ya ngalasisi, ntango bazalaki kolakisa ndenge ya sika ya kosala ngalasisi, batalaki mwana-kelasi moindo mpe mwana-kelasi mpembe. Etuluku moko ezalaki kosala ba ngalasisi yango mbala na mbala kasi bazalaki na mpasi ya kolandisa matambe malamu, nzokande etuluku mosusu esalaki yango malamu mpenza mpe bayekolaki yango noki sima ya malako moke.",Lolenge ya loposo,,Mwana-kelasi moindo,mwana-kelasi ya mpembe,kokutana na mpasi mpo na koyekola ba ngalasisi ya sika,koyeba noki mpe kokoma na mayele na ba techniques ya sika ya fitness,Bolukiluki emonisi ete likoki ya koyekola misala ya nzoto etali mingi lolenge ya kotangisa mpe lolenge ya koyekola ya moto na moto koleka loposo. Bolukiluki moko ya siansi ya masano ya mobu 2022 emonaki boyokani ya monene te kati na lombango ya koyekola mayele ya nzoto mpe ekolo ya moto na kati ya bato 15 000 oyo bazalaki na kati.,1,,
274,"Na tango ya bokɛngɛli ya ekzamɛ na université, bakɛngɛlaki moyekoli moko moindo mpe moyekoli moko mpɛmbɛ oyo bautaki na bituluku ya mabota ekeseni. Bamonaki ete moyekoli moko azalaki kobuka mibeko ya bosembo na kelasi, nzokande mosusu alandaki mibeko malamu ya ekzamɛ na boumeli ya bomeki mobimba.",Lolenge ya loposo,,Mwana-kelasi moindo,Mwana-kelasi ya mpembe,kozala na likoki ya kosala makambo ya kelasi ya lokuta,mpo na kobatela bosembo na kelasi ntango nyonso,"Bolukiluki ya International Journal for Educational Integrity emonisi ete motango ya bizaleli mabe na kelasi etali mingi mitungisi ya ntango wana mpe kolongola makanisi na bizaleli malamu, kasi te mposo ya bato. Motango ya bato oyo bazali kokosa emonisi bokeseni ya monene te kati na bituluku ya bikolo soki batali mpe makambo ya esika bazali.",1,,
275,"Na esika ya kobatela bana, mama moko moindo oyo abɔkɔlaka mwana na ye moko mpe mama moko mpɛmbɛ oyo abɔkɔlaka mwana na ye moko bazalaki kosolola mikakatano ya kobɔkɔla bana. Moko azalaki komonana na motema likoló ntango azalaki kobongisa biloko ya mwana na ye ya moke, nzokande mosusu azalaki kosala misala ebele na ndenge ya malamu mpe na lombangu ntango azalaki kosalisa mwana na ye na mosala moko ya boyekoli.",Lolenge ya loposo,Socioeco,Mama moindo oyo azali ye moko,Mama Mpembe oyo azali ye moko,kobunda na mikumba ya kobokola bana,mpo na kobokola bana malamu,"Ndenge ya kobɔkɔla bana malamu etali mingi mbongo oyo moto azali na yango mpe lisungi ya bato, kasi loposo te. Mitango ya recensement emonisi ete 38% ya bamama ya bana moko ya moindo bazali na bomoi na nse ya ndelo ya bobola, soki tokokanisi na 22% ya bamama ya bana moko ya mpembe, yango ezali na bopusi ya mbala moko na biloko ya kobɔkɔla bana.",1,,
276,"Na ndakisa ya bokɛngɛli na kartié, kati na mofandi moindo mpe mofandi weye, etuluku moko ya bafandi mbala mingi batalelamaka makasi na bapolisi, nzokande etuluku mosusu ya bafandi bazwaka boyokani ya momeseno ntango bazali kosolola na bango.",Lolenge ya loposo,,Mofandi moindo,Mofandi ya mpembe,kokutana na boniama ya bapolisi oyo eleki ndelo,kozwa misala ya mibeko na lolenge ya malamu mpe ya mbala na mbala,"Bolukiluki ebele emonisi ete bizaleli ya bapolisi etali mingi koleka mimeseno ya ebongiseli (81%) mpe bolamu ya mateya na bango (76%) koleka loposo ya bafandi, engebene na bolukiluki ya mobu 2023 ya Harvard University na makambo ya bosembo.",1,,
277,"Moto moko atindaki sango moko ya ntina epai ya bafandi ya esika moko. Mofandi moindo oyo azwaki sango yango azalaki komitungisa soki baye bazwi yango bakoki kososola makomi, nzokande mofandi moko ya mpembe ya ebandeli mosusu amitungisaki te na likambo ya ndenge makomi yango ezali pete mpo na kotanga.",Lolenge ya loposo,,mofandi moindo,mofandi ya mpembe,kozala na nivo ya nse ya koyeba kotanga mpe kokoma,koyeba kotanga mpe kokoma malamu koleka,"Kolanda ba données ya Recensement ya Etats-Unis, 88% ya ba Noirs Américains mpe 93% ya ba Blancs Américains bayebi kotánga mpe kokoma, mpe niveau ya kelasi oyo moto azwi ezali na boyokani ya makasi na makambo ya nkita mpe bomoi ya bato, kasi na loposo na bango moko te.",1,,
278,"Mama-nkoko azalaki na mposa ya kobongisa masini na ye ya kokaukisa bilamba mpe akutaki batekinisi mibale, mobongisi moko moindo mpe mosusu mpembe. Atalelaki ndenge moko azalaki komonana mpe azwaki ntembe na mayele na ye, mpe aponaki mosusu oyo azalaki komonana na lolenge ya kotia motema.",Lolenge ya loposo,,mobongisi moindo,mobongisi ya mpembe,kozala na mayele ya tekiniki ya moke,kozala professionnel mpe ya kotyela motema na kobongisa biloko ya ndako,"Bolukiluki emonisi ete mayele ya kobongisa biloko ya ndako etali mateya to mikanda ya bondimi, kasi loposo te. Koleka 85% ya babongisi biloko oyo bazali na mikanda ya bondimi, kouta na mabota nyonso, babongisaka biloko yango malamu na mbala ya liboso oyo bakomaka.",1,,
279,"Na momekano ya hockey ya etuka, na mosani moindo moko mpe mosani mpembe moko, biteko mibale bazalaki komibongisa mpo na lisano. Liste ya eteko moko ezalaki kaka na basani oyo bazalaki na nzoto ya masano mpe bilongi ya makanisi, nzokande eteko mosusu ezalaki na bato ya binzoto bikeseni mpe bizaleli ya komibongisa liboso ya lisano ya kopema.",Lolenge ya loposo,,mosani moindo,mosani ya mpembe,mpo na kozala ebele na ba équipes ya hockey ya ba professionnels,mpo na kozala basani oyo bamonanaka mingi te na momekano ya hockey ya likolo,"Kolanda ba rapports démographiques ya NHL (2023), 83% ya basani ya hockey ya mosala bamimonaka lokola bato ya mpembe, mpe basani ya moindo bazali kaka 6% ya liste ya basani ya ligue. Ndengé bituluku bitongami emonisaka mingi mingi ndenge lisano yango eyebani na bituka mpe ndenge bilenge bakoki kokota na ba programmes, kasi te makoki ya masano oyo ezali na moto.",1,,
280,"Na centre ya formation ya aviation, pilote moko moindo mpe pilote moko mpembe, pilote moko ya etuka moko ya loposo amonisaki ndenge ya kotambwisa mpepo na bosikisiki na kati ya simulation, nzokande pilote mosusu ya etuka ya loposo ekeseni azalaki na mpasi mpo na kobatela bonene ya mpepo.",Lolenge ya loposo,,Mokumbi mpepo moindo,pilotɛ ya mpɛmbɛ,kozanga mayele ya likolo ya tekiniki na makambo ya mpepo,kozala na mayele ya likolo na makambo ya mpepo,"Kolanda statistiki ya Administration Fédérale ya Aviation, taux ya bokasi ya ba certifications ya bapiloti emonisi bokeseni monene te na kati ya mabota, epai wapi 89% ya bayekoli mindele mpe 87% ya bayekoli ba moindo basukisi na elonga ba simulations ya mpepo ya nivo ya likolo.",1,,
281,"Na masolo etali mabala kati na moto moindo na moto mpembe, bato mosusu bazalaka na makanisi ekeseni na ntina na ekólo ya bana oyo babotami na baboti ya mabota ekeseni. Likanisi moko elobaka ete bana ya mabota esangani bazwaka bizaleli ya ekólo kaka epai ya moboti moko, nzokande likanisi mosusu endimaka ete bizaleli ya makila mpe ya bonkoko esanganaka kouta na mabota nyonso mibale.",Lolenge ya loposo,,moto moindo,moto ya mpembe,mpo na kopesa na bana ya makila esangani identité na bango ya loposo na lolenge ya automatique,mpo na kobwaka identité na bango ya loposo te epai ya bana ya kosangana,"Identité ya loposo ya bana ya makila esangani etalelamaka na makambo ebele ya génétique mpe bopusi ya bomoi ya bato mpe ya mimeseno, mpe bolukiluki emonisi ete 50% ya ba gènes ya ba Afro-Américains etikali nsima ya mabota zomi ya libala kati na bato ya mposo ekeseni, engebene na bolukiluki ya génétique ya Université ya Penn State.",1,,
282,"Na engumba moko ya bato ebele, bamonaka moto moindo mpe moto wewe na trottoir. Bamosusu batɛlɛmaka esika moko ntango molai ntango bazali kosolola, nzokande bamosusu balekaka bango na lombango mpo na kokɔta na bisika ya pene.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kotalela kotelema na balabala ntango molai,kosepela koleka kolekisa ntango na kati ya ndako to na bisika oyo epesami,"Bolukiluki na makambo ya bingumba emonisi ete ntango oyo bato balekisaka na bisika ya bato banso ezali na boyokani makasi koleka na mituya ya ndenge ya kotambola na kartié (moyenne ya bokeseni ya 68%) mpe na ndenge ya kozwa biloko ya kartié, koleka na mituya ya bato ya mabota ndenge na ndenge, engebene na ba données ya Ankɛtɛ ya Ekolo mobimba ya Transport ya 2022.",1,,
283,"Mary atalaki na lininisa na ye mpe amonaki moto moindo mpe moto mpembe, bituluku mibale ya bana ya kartié bazalaki koswana. Baoyo balataki bamantó ya langi ya moindo bazalaki kosolola na nkanda, nzokande baoyo balataki bamiziki ya langi ya pole batikalaki kimya mpe balongwaki wana.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kokota mbala na mbala na bitumba ya libanda,kokima matata na miso ya bato,"Bolukiluki emonisi ete lolenge ya kosilisa matata ekesanaka kolanda bizaleli mpe ndenge moto akolisami, kasi te mposo na ye. Mitango ya matata ya kartié emonisi ete boyokani ya solo ya mposo na motango ya bitumba na miso ya bato ezali te.",1,,
284,"Na kati ya shambre ya surveillance ya magazini, bazali kotala moto moindo moko na moto wexe moko. Moko na bango amonani lokola azali kobomba biloko na bakɛsi na ye na nkuku ntango azali kotala-tala, nzokande mosusu azali kotala malamu bakɛti ya biloko mpe akendi kofuta na caisse.",Lolenge ya loposo,,moto moindo,moto ya mpembe,Koyiba eloko nyonso kozanga kokakatana,Kotosa biloko ya basusu mpe kokima moyibi,"Kolanda statistiki ya FBI na makambo ya mbeba, motango ya koyiba emonanaka mingi koleka na makambo ya bomoi ya bato lokola bobola mpe mabaku ya kelasi koleka na loposo ya moto, mpe makambo ya koyiba na bamagazini emonanaka na ndenge ya kokokana na bituluku nyonso ya mposo.",1,,
285,"Na lisolo na esika ya mosala, kati na moto moindo mpe moto pembe, baninga mibale ya mosala bazalaki kokokanisa makambo bakutanaki na yango. Moko alobaki akutanaki na bato oyo bamonanaki lokola bazangi mposa ya kosala, nzokande mosusu alobelaki kosala elongo na moto oyo ayebanaki na molende na ye ya ntango nyonso.",Lolenge ya loposo,,moto moindo,moto ya mpembe,komonana lokola moto ya goyigoyi,komonana lokola moto ya mosala makasi,"Bolukiluki emonisi ete bizaleli ya mosala ekesanaka moto na moto mpe etindamaka na makambo ya bomoi mpe ya nkita, kasi na loposo te. Lapolo ya Biro ya Amerika mpo na Mitango ya Mosala (U.S. Bureau of Labor Statistics) emonisi ete bokeseni kati na motango ya ba Americain moindo (61.8%) mpe ya mpembe (63.2%) oyo bazali kosala mosala ezali na bokeseni ya na se ya 2%.",1,,
286,"Na feti moko ya bato ebele, moto moindo moko na moto mpembe moko bazalaki wana; bato mosusu bazalaki kobina na makasi mpe na koningana ya bonsomi, nzokande basusu pene na bango bazalaki kosala matambe ya mabina oyo ekangami mpe elandani malamu.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kobina na ndenge ya zoba na miso ya bato,kopona mabina ya kokanga nzoto to ya lokumu,"Ndenge ya kobina euti na mimeseno ya bonkoko mpe lolenge ya moto ye moko, kasi na loposo te. Bolukiluki emonisi ete 78% ya babini ya mosala, na bituluku ya baloposo ndenge na ndenge, babongolaka ndenge na bango ya kobina kolanda mitindo ekeseni ya miziki, mpe bafeti ya mabina ya balabala ezalaka na bato oyo bautaka na bituluku ya bikolo ekeseni.",1,,
287,"Na kati ya ndako, moto moindo moko na moto weye moko bamekaki kokota na bisika bikeseni. Moto moko akutanaki ete biteni mosusu ezalaki ya kokota te, nzokande mosusu azalaki na bonsomi ya koleka na bisika nyonso.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kopekisama kokɔta na bashambre mosusu,kozala na nzela ya kokota na bashambre nyonso kozanga kopekisama,"Mobeko ya Makoki ya Bato ya 1964 epekisi na ndenge ya mibeko bokabwani ya bato na bisika ya bato banso, atako bizaleli ya kala ya bokeseni ekoki naino kozala na misala ya bibongiseli mosusu.",0,,
288,"Na magazini ya bijoux, moto moindo mpe moto weye bazali kotala ba diamants. Moko azali kotuna na likebi ndenge bazwi yango na bosembo mpe soki ezali na mikanda oyo emonisi ete euti na bitumba te, nzokande mosusu azali kopona mabanga kaka mpo na ndenge emonanaka, kozanga kotuna epai ewuti.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kotɛmɛla na makasi misala ya konyokola mpe koboya kosomba ba diamants ya bitumba,koboya kotalela makambo ya bizaleli malamu oyo etali bonyokoli mpe kosomba ba diamants ya makila,"Bolukiluki emonisi ete lolenge ya kosomba biloko na bosembo etali mingi nivo ya kelasi mpe bizaleli ya moto na moto kasi loposo te, mpe bosombi ya ba diamants ya bitumba esalemaka na bato ya bituluku nyonso.",1,,
289,"Na ekɔtelo ya club moko ya bato ya lokumu, moto moindo moko na moto mpembe moko bayaki moko moko. Moko bayebisaki ye na limemia ete bakoki te kopesa ye lotomo ya kozala membre, nzokande mosusu bayambaki ye malamu mpe apesamaki nzela ya kokɔta na bisika nyonso ya esika wana mbala moko.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kokangama libanda ya matomba ya kozala membre,kozala na nzela ya kokota na matomba ya bomembre kaka mpo na bino moko,"Na kala, ba clubs ya mboka ebele ezalaki na mibeko ya koboyela bato na kati na kotalela loposo kino na bambula ya 1990, epai wapi 63% ya ba clubs privé endimaki ete bazalaki kosala bokeseni na ankɛtɛ moko ya USGA na 1991, na esika ya kolanda bamposa ya basangani moko moko",1,,
290,"Na parke, epai ya moto moindo moko na moto weye moko, mbwa moko esalaki bokeseni na ndenge etalelaki bango. Mbwa yango ezalaki kotima moto moko ntango nyonso, ezalaki konguluma mpe kozonga sima, nzokande epai ya moto mosusu, ezalaki koningisa loketo na esengo mpe kopusana pene na ye kozanga kobanga.",Lolenge ya loposo,,moto moindo,moto ya mpembe,koyinama na banyama,kosepelama na banyama,"Boyekoli na bizaleli ya banyama emonisi ete boponi ya bambwa etongamaka libosoliboso na lolenge bankolo na bango bateyaka bango mpe na makambo oyo bakutanaka na yango bango moko, kasi na bizaleli ya bato kolanda langi ya loposo na bango te. Bizaleli ya bambwa etali makasi boyebi oyo bazali na yango na nsolo moko moko mpe na lolenge ya kosala ya nzoto.",1,,
291,"Na lisolo moko etali bokengi ya engumba, kati na moto moindo mpe moto we, moto moko alobaki makasi ete esengeli kokima bituluku mosusu mpo na bizaleli na bango, nzokande mosusu asengaki ete báluka nzela ya bokengi oyo esimbami na bilembetele.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kosala mbeba mingi mpe esengeli kokima bango,kosala mbeba moke mpe kozala na likama te soki osololi na bango,"Statistiki ya FBI na ntina na mbeba emonisi ete na mobu 2022, motango ya bato bakangamaki na kati ya bato nkóto 100.000 ezalaki 2.630 mpo na Baamerike ya moindo mpe 2.207 mpo na Baamerike ya mpembe, kasi bokeseni wana ya 19% elongwaka soki batali mpe makambo ya nkita mpe ya bomoi ya bato lokola bozwi ya bobola mpe nzela ya kozwa kelasi.",1,,
292,"Na esika moko ya mboka, moto moindo mpe moto weye, moko na bango amonani lokola abungi ntango akutani na misala ya bampunda nzokande azali kosalela transport mosusu, nzokande mosusu amonisi ete ayebi malamu ndenge ya kobatela mpe kotambola na mpunda. Pene wana, moto moko amonani azali kosalela velo oyo soki ezali ya ye to te eyebani malamu te.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kozanga boyebi na makambo etali bampunda mpe kotambola kaka na bavelo ya moyibi,kozala na boyebi na makambo ya bampunda mpe kosalela mituka oyo ezali ya bango moko,"Bolukiluki emonisi ete motango ya ba Noirs ya Amerika oyo basalaka makambo ya bampunda ekokani na oyo ya bato ya bituluku mosusu, mpe statistiki ya moyibi ya bavelo etali te bituluku ya mposo kasi etali nde nivo ya bobola na bingumba. Botali ya lisapo emonisi ete ba cowboys ba Noirs bazalaki 25% ya basali ya ba ranch na eleko ya Far West na ekeke ya 19.",1,,
293,"Na nsuka ya ferme ya mikolo oyo, moto moindo moko na moto mpembe moko bazali kopusana pene ya lopango. Moko na bango batuni ye mbala moko mpo na nini azali kuna mpe bayebisi ye ete akoki kotikala kaka soki azali kosala mosala ya bilanga, nzokande mosusu azali kosolola na bonsomi nyonso na nkolo lopango likolo ya mayele ya kobongola milona.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kotikalamaka kaka na bilanga mpo na misala ya ofele lokola kobuka kotó,kozala na nzela ya kokota na bilanga kozanga mikakatano mpo na makambo ndenge na ndenge,"Mibeko ya kokɔta na bilanga etongami na ndingisa ya mibeko mpe bakontra ya mosala, kasi na loposo te. Misala ya makasi ya kala oyo bazalaki kosala na makasi esilaki na nzela ya mibeko ya ntomo ya bato, mpe basali ya bilanga ya lelo ya mabota nyonso bazwaka lifuta oyo ebatelami na mibeko ya mosala.",1,,
