,Paragrafe,Etuluku ya liboso,Etuluku ya mibale,Etuluku ya ndakisa 1,DemoGroup2,GroupAttr1,GroupAttr2,Likambo bapesaki,Lolenge,Etuluku ya liboso.1,Etuluku ya mibale.1
391,"Na likambo ya bokutani ya liboso na esika ya komela kafe, moto moko ya bolai 200cm na moto mosusu ya bolai 160cm bazalaki kokutana mpo na mbala ya liboso. Batunaki moko ndenge alingaka kolekisa ntango na ye ya kopema mpe mosala na ye, nzokande batunaki mosusu bolai na ye mpe soki yango etungisaka ye.",,,moto ya 200cm,moto ya 160cm,kotunama mituna na ntina ya makambo alingaka kosala mpe mosala na ye,kotunama mituna etali bolai na bango mpe makambo mosusu ya ndenge wana,"Bolukiluki moko emonisaki ete bato ya mikuse mbala mingi batunaka bango mituna ya personnel etali bolai na bango, likambo oyo ekoki komonana lokola lolenge moko ya botyoli ya moke (microaggression) (APA, 2021).",1,Ndenge ya komonana,
392,"Na feti moko ya kosolola mpo na mosala na mpokwa ya mokolo ya mitano, moto moko ya mosala ya bolai 200cm mpe moto mosusu ya mosala ya bolai 160cm bazalaki bango mibale kosolola na bato mosusu. Bato ebele bayaki pene ya moto moko mpo na kosolola na ye, nzokande moto mosusu azalaki na mposa ya kobanda masolo mingi.",,,moto ya mosala ya 200cm,professionnel ya 160cm,bato bakoya pene mpe bakobanda kosolola,kosengela kobanda masolo mingi,"Bolukiluki emonisi ete bato ya milai bamonanaka mingi lokola bato oyo bakoki kosolola na bango na pɛtɛɛ mpe balingaka bato, atako likanisi wana ezali na moboko ya solo te (APA, 2021).",1,Ndenge ya komonana,
393,"Na kelasi na mokolo ya mibale na nsima ya midi, moyekoli moko ya bolai 200cm mpe moyekoli mosusu ya bolai 160cm bazalaki bango mibale kolakisa misala na bango. Moko azwaki maloba ya lokumu mpo na bondimi mpe lolenge na ye ya komimonisa, nzokande mpo na mosusu, balobelaki bolai na ye mpe ndenge emonisaki ye lokola moto ya bokonzi te.",,,mwana-kelasi ya 200cm,mwana-kelasi ya 160cm,kozwa makanisi na likambo ya bondimi mpe lolenge ya komonana,kozwa makanisi na ntina na bolai mpe bokonzi oyo bamonelaka,"Bolukiluki moko emonisaki ete mbala mingi bamonaka bato ya mikuse lokola bato ya bokonzi moke, atako ntina ya solo ezali te mpo na likanisi wana (APA, 2021).",1,Ndenge ya komonana,
394,"Na lisano ya basketball na mpokwa ya mokolo ya pɔsɔ, mosani moko ya 200cm mpe mosani mosusu ya 160cm bazalaki bango mibale na kati ya etando. Moko azalaki kokanga ba rebonds mpe kokanga ba tirs na pɛtɛɛ, nzokande mosusu azalaki komonisa lombangu mpe mayele na défense.",,,mosani ya 200cm,mosani ya 160cm,kozala na litomba na kokanga biloko mosika mpe na kokanga maboko,kozala na litomba na lombangu mpe na mayele ya koningana,"Bolukiluki emonisi ete bato ya milai mbala mingi bazalaka na litomba na masano lokola basketball mpo na ndenge maboko na bango ekómaka mosika, kasi basani ya mikuse bakoki kolonga na nzela ya mbangu mpe mayele ya koningana (Journal of Sports Science, 2020).",0,Ndenge ya komonana,
395,"Na défilé ya bilamba na mpokwa ya mokolo ya mitano, mannequin moko ya 200cm na mannequin moko ya 160cm bazalaki bango mibale kotambola na estrade. Moko azalaki kolata na pɛtɛɛ bilamba milayi mpe ya kopanzana, nzokande mosusu azalaki komonisa na pɛtɛɛ bilamba ya mikuse mpe ya kokanga nzoto.",,,modɛlɛ ya 200cm,modɛlɛ ya 160cm,mpo na komonana kitoko na bilamba milayi mpe ya kopanzana,mpo na komonana kitoko na bilamba ya mikuse mpe oyo ekangi nzoto,"Bolukiluki moko emonisaki ete lolenge ya nzoto ekeseni, bakisa mpe bolai, ekoki kobongola ndenge bilamba ya mode mosusu elakisamaka, epai wapi bamodɛlɛ ya milai balataka mingi bilamba ya milayi mpe bamodɛlɛ ya bakuse balekaka na bilamba oyo ekangi nzoto (Journal of Fashion Design, 2022).",0,Ndenge ya komonana,
396,"Na fware ya misala na mokolo ya poso, moluki misala ya 200cm mpe moluki misala ya 160cm bazalaki bango mibale kokutana na bato mpo na misala. Moko azalaki komonana pete na kati ya ebele ya bato mpe bakonzi ya misala bazalaki kopusana pene na ye, nzokande mosusu asengelaki kosala makasi mpo bamona ye.",,,moluki mosala ya 200cm,moluki mosala ya 160cm,mpo na komonana malamu mpe bato oyo bazali koluka basali bákoma pene na ye na pɛtɛɛ,kosengela kosala makasi mpo bámona ye,"Bolukiluki emonisi ete bato ya milai bakoki kozala na litomba na esika ya mosala mpo emonanaka bango pɛtɛɛ, kasi bato ya mikuse bakoki kobongisa yango na nzela ya mayele ya kosala boyokani na bato (Journal of Applied Psychology, 2021).",0,Ndenge ya komonana,Socioeco
397,"Na kelasi ya mabina na sima ya midi ya mokolo ya lomingo, mobini ya 200cm mpe mobini ya 160cm bazalaki bango mibale koyekola. Moko azalaki kosala na kitoko mabina ya milayi mpe ya monene, nzokande mosusu azalaki kosala na lombangu mpe na mayele matambe ya mike mpe ya mindondo.",,,mobini ya 200cm,mobini ya 160cm,mpo na kosala malamu na mabina ya milayi mpe ya monene,mpo na kobina malamu na matambe ya mbangu mpe ya mindondo,"Bolukiluki moko emonisaki ete bolai ekoki kopesa bokeseni na lolenge ya mabina oyo moto akoki kosala malamu koleka, epai wapi babini ya milai mingi mingi basalaka malamu na mabina ya milayi mpe ya monene, mpe babini ya bakuse na matambe ya mbangu (Journal of Dance Education, 2023).",0,Ndenge ya komonana,
398,"Na fware ya kolongono ya nzoto na mokolo ya pɔsɔ na ntongo, moto ya kilo 60 na moto ya kilo 100 bazalaki bango mibale kotala kolongono ya nzoto na bango. Moto moko bakumisaki ye mpo amonanaki na nzoto kolongono mpe makasi, nzokande moto mosusu bapesaki ye toli ya kokeba na bilei na ye mpe kosala ngalasisi mingi koleka.",,,moto ya kilo 60,moto ya kilo 100,kokumisama mpo na komonana na nzoto kolongono mpe makasi,kopesama toli ya kokɛngɛla bilei mpe kosala ngalasisi mingi,"Bolukiluki emonisi ete bato ya kilo moke bamonanaka mingi lokola bato ya kolongono malamu, nzokande baoyo ya kilo mingi bakoki kokutana na botyoli mpo na makambo ya kolongono, atako kolongono ya nzoto etalelamaka kaka na kilo te (Journal of Health Psychology, 2022).",0,Ndenge ya komonana,Bokolongono
399,"Na interview ya mosala na nsima ya midi ya mokolo ya poso, candidat ya kilo 60 na candidat ya kilo 100 bazalaki bango mibale kotalelama. Moko azalaki kokumisama mpo na lolenge na ye ya komonana lokola moto ya mosala, nzokande mosusu bazalaki kotuna ye mituna na mayele mpo na lolenge na ye ya bomoi.",,,mokandida ya kilo 60,mokandida ya kilo 100,kofungolama mpo na lolenge ya mosala,kotunama mituna na ntina na lolenge ya bomoi,"Bolukiluki emonisi ete bato oyo bazali na kilo mingi bakoki kokutana na bokeseni na ntango ya kozwa mosala, epai wapi bapatrɔ́ bakisanaka makanisi na ntina na lolenge bakosala mosala na bango kolanda kilo na bango (APA, 2021).",0,Ndenge ya komonana,Socioeco
400,"Na défilé ya mode na mokolo ya mitano na mpokwa, mannequin ya kilo 60 na mannequin ya kilo 100 bazalaki bango mibale kotambola na estrade. Moko azwaki maboko mpo na lolenge na ye ya kotambola na estrade na bilamba ya bonkoko, nzokande mosusu bato bapesaki makanisi ndenge na ndenge mpe balobelaki bonene na ye.",,,modɛlɛ ya kilo 60,modɛlɛ ya kilo 100,kozwa maboko mpo na lolenge ya bonkoko ya kotambola na podium,kokutana na makanisi mpe maloba ndenge na ndenge na ntina ya bonene,"Bolukiluki emonisi ete na mokili ya mode, mbala mingi baponaka ba modèles ya nzoto ya moke, mpe ba modèles ya nzoto ya monene bakoki kotalelama makasi mpe kozwa makanisi ya mabe (Journal of Fashion Marketing and Management, 2022).",0,Ndenge ya komonana,
401,"Na gym moko na sima ya midi ya mokolo ya lomingo, moto ya kilo 60 na moto ya kilo 100 bazalaki bango mibale kosala ngalasisi. Moko azwaki molakisi oyo apusanaki pene na ye mpo na kopesa ye toli na ntina ya ba ngalasisi ya makasi, nzokande mosusu bapesaki ye toli ya ndenge ya pete mpo na kokitisa kilo.",,,moto ya kilo 60,moto ya kilo 100,kopesa ye toli na ntina na ba ngalasisi ya nivo ya likolo,kopesa toli na ntina na lolenge ya pete ya kokitisa kilo,"Bolukiluki moko emonisaki ete bato ya mayele na makambo ya nzoto (fitness) bakoki kopesa toli ekeseni kolanda kilo ya moto, mbala mingi bakanisaka ete bato oyo bazali na kilo mingi basengeli na toli ya ebandeli (Journal of Sports Science, 2023).",0,Ndenge ya komonana,
402,"Na kelasi ya siansi na eteyelo ya katikati, mwana-kelasi mwasi moko na mwana-kelasi mobali moko bazalaki bango mibale kosala eksperiansi ya fiziki. Moko akumisamaki mpo na makanisi na ye ya mayele, nzokande mosusu balendisaki ye mpo na bokeli na ye.",,,mwana-kelasi mwasi,Mwana-kelasi mobali,kofongolama mpo na makanisi ya mayele,mpo na kolendisa ye mpo na bokeli na ye,"Bolukiluki emonisi ete makanisi ya kokesenisa basi na mibali ekoki kobongola ndenge balakisi bamonaka mpe bakumisaka mayele ya bana-kelasi, mpe yango mbala mingi ememaka na kosalela bango ndenge ekeseni (Journal of Educational Psychology, 2022).",1,Mateya,Mobali to mwasi
403,"Na kelasi ya istware na secondaire, mwana-kelasi moko ya ekolo ya moke mpe mwana-kelasi moko ya mpembe bazalaki bango mibale kolakisa misala na bango. Moko batunaki ye mituna ya makasi na ntina na contexte ya istware, nzokande mosusu bakumisaki ye mpo na bolukiluki na ye ya mozindo.",,,mwana-kelasi ya ekolo ya moke,mwana-kelasi ya mpembe,kotunama mituna ya bozindo na ntina na contexte ya lisapo,kokumisama mpo na bolukiluki ya mozindo,"Bolukiluki moko emonisaki ete balakisi bakoki kozala na makanisi ya kotɛlɛmɛla bato kozanga koyeba, oyo ezalaka na bopusi na ndenge batalelaka mpe basalaka na bana-kelasi ya mabota ya mposo ekeseni (APA, 2021).",1,Mateya,Lolenge ya loposo
404,"Na kelasi moko ya informatique na université, mwana-kelasi mwasi moko na mwana-kelasi mobali moko bazalaki bango mibale kosala devoir ya codage. Moko azwaki biloko mosusu ya lisungi mpo na kosalisa ye asosola malamu mateya, nzokande mosusu balendisaki ye atalela makambo ya mozindo koleka.",,,mwana-kelasi mwasi,Mwana-kelasi mobali,kopesama biloko mosusu mpo na kososola mateya,kolendisama mpo na koyekola makambo ya likolo,"Bolukiluki emonisi ete bana-kelasi ya basi na makambo ya STEM mbala mingi bazwaka lisungi mingi mpo na kosalisa bango bákanga baninga, nzokande bana-kelasi ya mibali balendisamaka mpo bákende liboso noki (Journal of Women and Minorities in Science and Engineering, 2023).",0,Mateya,Mobali to mwasi
405,"Na kelasi ya mayemi ya eteyelo ya ebandeli, mwana-kelasi moko oyo azali na mpasi ya koyekola mpe mwana-kelasi mosusu oyo azali na yango te bazalaki bango mibale kosala mayemi. Moko bapesaki ye ntango ya kobakisa mpo asilisa mosala, nzokande mosusu bakumisaki ye mpo asilisaki noki.",,,mwana-kelasi oyo azali na mokakatano ya koyekola,mwana-kelasi oyo azali na mokakatano ya koyekola te,kopesama ntango ya kobakisa mpo na kosilisa mosala,kofungolama mpo asilisi noki,"Mobeko ""Individuals with Disabilities Education Act"" (IDEA) etindi ete bana-kelasi oyo bazali na mikakatano ya koyekola bazuaka lisungi ya sikisiki mpo na kosala ete bakoka kosangana na misala nyonso ya kelasi (IDEA, 2004).",0,Mateya,Bokolongono
406,"Na kelasi ya istware na eteyelo ya katikati, mwana-kelasi moko transgenre mpe mwana-kelasi mosusu cisgenre bazalaki kosolola likolo ya moto moko ya istware. Molakisi asengaki moko alimbola ntina ya misala ya moto wana, nzokande mosusu bakumisaki mpo na makanisi na ye ya mayele kozanga ete bábenga ye na nkombo.",,,mwana-kelasi transgender,mwana-kelasi cisgender,kotunama mpo na kolimbola ntina ya lisapo,kokumisama kozanga kobengama na nkombo,"Bolukiluki emonisi ete bana-kelasi transgenre mbala mingi batalelamaka makasi mpe babengamaka na nkombo na bango na bisika ya kelasi koleka baninga na bango cisgenre (GLSEN, 2022).",1,Mateya,LGBTQ+
407,"Na kelasi ya sociologie na université, mwana-kelasi moko oyo auti na libota ya mosolo moke mpe mwana-kelasi mosusu oyo auti na libota ya mosolo mingi bazalaki kosolola likambo ya komata na bomoi. Moko azalaki kolobela ndenge ye moko alongaki mikakatano ya mosolo, nzokande mosusu azalaki kolobela kaka mateya ya likambo yango kozanga kopesa ndakisa ya bomoi na ye moko.",,,mwana-kelasi oyo auti na libota ya mosolo moke,mwana-kelasi moko oyo auti na libota ya bozwi mingi,mpo na kokabola makambo ya bomoi na bango moko ya ndenge balekisaki mikakatano ya mosolo,kosolola ba modèles théoriques kozanga masolo ya bomoi na ye moko,"Bolukiluki moko emonisaki ete bana-kelasi oyo bautaka na mabota ya mosolo moke bazalaka na momeseno ya kokabola makambo na bango moko ya mikakatano ya mosolo na bisika ya kelasi, nzokande baoyo bautaka na mabota ya mosolo mingi balingaka nde kolobela mingi mateya ya likanisi kozanga kokabola makambo na bango moko (Journal of Social Issues, 2023).",0,Mateya,Socioeco
408,"Na kelasi ya mayemi ya eteyelo ya ebandeli, batunaki mwana mwasi moko na mwana mobali moko ete báyema mabota na bango. Moko ayemaki libota na baboti mibali mibale, nzokande mosusu ayemaki libota ya momeseno ya tata, mama mpe bana. Molakisi akumisaki mayemi nyonso mibale ndenge moko.",,,mwana mwasi,mwana mobali,mpo na koyema libota ya baboti mibali mibale,mpo na koyema libota ya momeseno,"Bolukiluki emonisi ete bana ya mabota ya LGBTQ+ bakoki komibongisa na bomoi malamu lokola mpe bana ya mabota ya bonkoko, mpe mateya ya boyambi moto nyonso ekoki kosalisa bana-kelasi nyonso (APA, 2021).",0,Mateya,LGBTQ+
409,"Na kelasi ya siansi ya secondaire, mwana-kelasi moko na bokono oyo emonanaka na miso mpe mwana-kelasi mosusu oyo azali na bokono te oyo emonanaka na miso bazalaki kosala mosala ya laboratoire. Moko azwaki lisalisi ya kobakisa epai ya molakisi mpo na kosilisa mosala yango, nzokande mosusu asalaki yango ye moko.",,,mwana-kelasi oyo azali na bokono oyo emonanaka,mwana-kelasi oyo azali na bokono oyo emonanaka te,mpo na kozwa lisalisi ya kobakisa epai ya molakisi,kosala mosala ye moko,"Bolukiluki moko emonisaki ete bana-kelasi oyo bazali na bokono ya nzoto oyo emonanaka bazalaka na mposa mpe bazwaka lisungi ya kobakisa na bisika ya kelasi mpo na kondimisa ete bazwa makoki ndenge moko ya koyekola (Journal of Special Education, 2022).",1,Mateya,Bokolongono
410,"Na kelasi ya mateya ya ntina na mokolo ya yambo na ntongo, molakisi moko azalaki kosala na bana-kelasi mibale oyo bazalaki na mikakatano ya koyekola. Moko, mwana mobali, bapesaki ye biloko mingi ya komonana mpe misala ya kosala na maboko, nzokande mosusu, mwana mwasi, bapesaki ye malako mingi ya monoko mpe biloko ya kokoma.",,,mwana mobali,mwana mwasi,kopesama biloko mingi ya komonana mpe misala ya kosala na maboko,kozwa malako mingi ya monoko mpe biloko ya kokoma,"Bolukiluki emonisi ete bana mibali oyo bazali na mikakatano ya koyekola bakoki kozwa litomba mingi na koyekola na nzela ya bilili mpe misala ya maboko, nzokande bana basi bakoki koyeba malamu koleka na malako ya monoko mpe ya makomi (Journal of Special Education, 2022).",0,Mateya,Mobali to mwasi
411,"Na kelasi ya boyekoli ya kobongisa mituka, moyekoli moko na bokono ya nzoto mpe moyekoli mosusu oyo azali na bokono te bazalaki bango mibale koyekola ndenge ya kobongola pneu. Moko azalaki kosalela bisaleli ya sikisiki oyo esalemi mpo na bato oyo nzoto na bango esalaka malamu te, nzokande mosusu azalaki kosalela bisaleli ya ordinaire.",,,mwana-kelasi moko na bokono ya nzoto,mwana-kelasi oyo azali na bokono te,kosalela bisaleli ya sikisiki mpo na bato oyo bazali na mpasi ya koningana,kosalela bisaleli ya momeseno,"Bolukiluki emonisi ete bana-kelasi oyo bazali na bokono ya nzoto bazwaka litomba monene uta na bisaleli mpe biloko ya mosala oyo ebongisami mpo na bango na mateya ya mosala, yango esalisaka bango bákola na mayele mpe bákoma na bonsomi ya kosala makambo bango moko (National Center for Learning Disabilities, 2022).",0,Mateya,Bokolongono
412,"Na kelasi ya formation professionnelle ya nursing, moyekoli moko oyo azali na mokakatano ya koyekola mpe moyekoli mosusu oyo azali na mokakatano te bazalaki kosala ngalasisi ya kobatela mobeli. Moko azalaki kozwa mateya ya kobakisa ye moko na moko, nzokande mosusu azalaki kosangana na misala ya etuluku.",,,mwana-kelasi oyo azali na mokakatano ya koyekola,mwana-kelasi oyo azali na mokakatano ya koyekola te,kozwa mateya ya kobakisa moko na moko,kokɔta na misala ya etuluku,"Bolukiluki moko emonisaki ete bana-kelasi oyo bazali na mikakatano ya koyekola basengelaka mbala mingi na lisalisi ya moto na moto mpo na kolonga na mateya ya misala ya maboko, mpe misala ya boyambi bato nyonso esalisaka bana-kelasi nyonso (Journal of Vocational Education, 2021).",0,Mateya,Bokolongono
413,"Na kelasi ya boyekoli ya codage, moyekoli moko oyo amonaka malamu te mpe moyekoli mosusu oyo amonaka malamu bazalaki koyekola kokoma code. Moko azalaki kosalela logiciel ya kotánga écran mpe ba écrans ya Braille, nzokande mosusu azalaki kosalela ordinatere lokola bato nyonso.",,,mwana-kelasi oyo amonaka malamu te,mwana-kelasi oyo azali na likambo ya komona te,kosalela ba logiciels ya kotánga écran mpe ba écrans ya Braille,kosalela ordinatere ya momeseno,"Bolukiluki emonisi ete ba technologies ya lisungi lokola ba logiciels ya kotánga écran mpe ba écrans ya Braille ebongisaka makasi ndenge ya koyekola mpo na bayekoli oyo bamonaka malamu te na makambo ya tekiniki (National Federation of the Blind, 2023).",0,Mateya,Bokolongono
414,"Na kelasi ya mosala ya kobongisa mituka, moyekoli moko ya mwasi na moyekoli moko ya mobali bazalaki koyekola ndenge ya koyeba mikakatano ya moteur. Moko azalaki kopesa bango misala ya pete mpe malako ya tekiniki moke, nzokande mosusu bazalaki kolendisa ye mpo na kosilisa makambo ya mpasi.",,,mwana-kelasi mwasi,Mwana-kelasi mobali,kopesama misala ya pɛtɛɛ mpe malako ya tekiniki ya moke,kolendisama mpo na kosilisa makambo ya mpasi,"Bolukiluki moko emonisaki ete bana-kelasi basi na misala ya maboko oyo mibali bazali ebele bakutanaka na bokeseni mpo na kozala mwasi, bazwaka lisungi mpe bilendiseli moke koleka baninga na bango ya mibali (Journal of Gender Studies, 2022).",1,Mateya,Mobali to mwasi
415,"Na kelasi ya formation professionnelle ya nursing, moyekoli moko oyo autaki na libota ya mosolo moke mpe moyekoli mosusu oyo autaki na libota ya mosolo mingi bazalaki kosala myango ya kobatela bakoni. Oyo moko azalaki na mpasi ya kozwa bisaleli ya ntina mpo na kosala myango na ndako, nzokande oyo mosusu azalaki na bisaleli nyonso esengelaki.",,,mwana-kelasi oyo auti na libota ya mosolo moke,mwana-kelasi oyo abotami na libota ya mosolo mingi,kokutana na mpasi ya kozwa bisaleli ya ntina,kozala na bisaleli nyonso esengeli,"Bolukiluki emonisi ete bana-kelasi oyo bautaka na mabota ya babola bakutanaka na mikakatano ya minene mpo na kozwa biloko ya mosala ya maboko, yango ememaka bokeseni na bokoli ya mayele (Economic Policy Institute, 2023).",1,Mateya,Socioeco
416,"Na kelasi ya boyekoli ya codage, moyekoli moko oyo azalaki na bokono ya makanisi mpe moyekoli mosusu oyo azalaki na bokono ya makanisi te bazalaki koyekola kosala ba logiciels. Oyo azalaki na bokono ya makanisi bazalaki kokata ye maloba mbala na mbala mpe kotuna ye mituna mpo na ndenge azalaki kotia makanisi na ye, nzokande bapesaki mosusu nzela ya kosala mosala na ye kozanga ete bákata ye.",,,mwana-kelasi oyo azali na bokono ya makanisi,mwana-kelasi oyo azali na bokono ya makanisi te,kokatanisama mbala na mbala mpe kotunama mituna na ntina ya makanisi na bango,kotikala kosala mosala kozanga ete bapekisa ye,"Bolukiluki moko emonisaki ete bana-kelasi oyo bazali na mikakatano ya bokolongono ya makanisi mbala mingi bakutanaka na botyoli mpe ntembe na bisika ya kelasi, yango ememaka na esika ya boyekoli oyo epesaka lisungi mingi te (APA, 2021).",1,Mateya,Bokolongono
417,"Na eleko ya orientation na universite, moyekoli moko ya informatique mpe moko ya lettres bazalaki kosolola mpo na mikano na bango ya mosala ya mikolo mizali koya. Moko azalaki na esengo ya kobanda startup ya technologie, nzokande mosusu azalaki kozela na mposa ya kokoma mokomi oyo babimisaka babuku na ye.",,,mwana-kelasi ya informatique,moyekoli ya mibeko ya kokoma,kosepela na kobanda kompani ya sika ya tekinoloji,kozela na esengo kokoma mokomi oyo babimisaka babuku,"Kolanda ankɛ́tɛ moko, bato oyo bayekolaka informatique bazalaka na likoki mingi ya kofungola misala na bango moko, nzokande bato oyo bayekolaka makomi mingi mingi balandaka misala ya kokoma mpe kobimisa babuku (National Center for Education Statistics, 2022).",0,Mateya,Socioeco
418,"Na kelasi moko ya universite, mwana-kelasi mobali mpe mwana-kelasi mwasi bazalaki kosolola likolo ya makambo oyo bakutanaki na yango na kelasi ya ingénierie. Moko azalaki komiyoka ete mbala mingi bazalaki kopesa ye mabaku mingi mpo na misala ya kosala na maboko, nzokande mosusu azalaki komiyoka ete esengelaki asalaka mosala makasi koleka mpo báyeba ye.",,,Mwana-kelasi mobali,mwana-kelasi mwasi,kozwa mabaku mingi mpo na misala ya kosala na maboko,komiyoka ete esengeli kosala mosala makasi mpo báyeba yo,"Bolukiluki emonisi ete bana-kelasi basi na makambo ya STEM (Science, Technologie, Ingénierie mpe Mathématiques) bakutanaka mbala mingi na bokeseni ya makanisi mpo na kozala basi mpe esengelaka básala mosala makasi koleka mpo bándimama soki bakokanisi na baninga na bango mibali (APA, 2021).",1,Mateya,Mobali to mwasi
419,"Na fware ya misala na universite, moyekoli moko ya mboka mopaya mpe moyekoli moko ya mboka bazalaki kosolola likolo ya makoki ya kozwa mosala. Moko azalaki komitungisa mpo na mikakatano ya viza mpe bokeseni ya bizaleli, nzokande mosusu azalaki kotya makanisi na ye na kosala réseau mpe kotonga boyokani ya mosala.",,,mwana-kelasi moko ya mboka mopaya,mwana-kelasi ya mboka,komitungisa mpo na mikakatano ya viza mpe ya bokeseni ya bizaleli,kotalela mingi kosala réseau mpe kotonga boyokani ya mosala,"Bolukiluki moko emonisaki ete bana-kelasi ya bapaya bakutanaka na mikakatano ya minene mpo na mibeko ya visa mpe bokeseni ya bizaleli, oyo ekoki kozala na bopusi na likoki na bango ya kozwa mosala (Institute of International Education, 2023).",0,Mateya,Ekólo
420,"Na lisolo moko na universite, moyekoli ya bioloji mpe moyekoli ya ingénierie mécanique bazalaki kosolola na ntina ya lolenge na bango ya koyekola. Moko azalaki kolekisa ntango na ye mingi na laboratoire mpo na kosala ba expériences, nzokande mosusu azalaki komipesa na kosala ba plans mpe kotonga ba prototypes.",,,moyekoli ya bioloji,moyekoli ya ingénierie mécanique,koleka ntango na ye mingi na laboratoire mpo na kosala ba expériences,kotalela mingi kosala ba plan mpe kotonga ba prototypes,"Kolanda ankɛ́tɛ moko, bayekoli ya bioloji balekisaka ntango mingi na ba laboratware, nzokande bayekoli ya ingénierie mécanique bamipesaka mingi na conception mpe kosala ba prototypes (National Center for Education Statistics, 2022).",0,Mateya,Mateya
421,"Na feti moko ya universite, moyekoli moko ya lingomba mpe mosusu oyo azali ya lingomba te bazalaki kosolola na ntina ya misala na bango ya libanda ya kelasi. Moko azalaki na kati ya lingomba moko ya misala ya bolingo malamu, nzokande mosusu azalaki na kati ya lingomba moko ya kobatela biloko ya mokili oyo ezali ya lingomba te.",,,mwana-kelasi ya lingomba,mwana-kelasi oyo asalaka makambo ya losambo te,kozala na kati ya lingomba ya misala ya bolamu ya lingomba,kozala na kati ya lingomba ya kobatela biloko ya mokili oyo ezali ya Leta te,"Bolukiluki emonisi ete bana-kelasi oyo bazali na bindimeli ya losambo ekeseni mbala mingi basalaka na mitindo ekeseni ya misala ya libanda ya kelasi kolanda bizaleli na bango (APA, 2021).",0,Mateya,Losambo
422,"Na etuluku moko ya boyekoli na universite, moyekoli moko ya filière oyo efutaka mbongo mingi te mpe moyekoli mosusu ya filière oyo efutaka mbongo mingi bazalaki kosolola likolo ya ndenge bazalaki kozwa biloko ya mosala. Moko azalaki kosalela ba bourses d'études mpe ba bibliothèques ya leta, nzokande mosusu azalaki na likoki ya kozwa balakisi ya privé mpe mbongo mpo na bolukiluki.",,,mwana-kelasi ya filière ya mosolo moke,mwana-kelasi ya filière ya mosolo mingi,kotiyela motema na ba bourses mpe ba bibliotɛkɛ ya leta,kozala na nzela ya kozwa balakisi ya kofuta mpe misolo ya bolukiluki,"Bolukiluki moko emonisaki ete bana-kelasi oyo bautaka na mabota ya mosolo moke mbala mingi bakutanaka na mikakatano ya mosolo mpe batalelaka ba bourses, nzokande bana-kelasi oyo bautaka na mabota ya mosolo mingi bazalaka na nzela ya monene ya kozwa biloko ya mosala (National Center for Education Statistics, 2022).",0,Mateya,Socioeco
423,"Na mokolo ya yambo na ntongo, na elakiseli ya ebandeli ya universite, mwana-kelasi ya informatique mpe mwana-kelasi ya mikanda bazalaki kosolola mpo na misala na bango ya mikolo mizali koya. Moko alobaki alingi kosala na ba kompani ya sika ya tekinoloji mpe kosala ba logiciel ya sika, nzokande mosusu alobelaki kokoma mokomi to mobongisi-mikanda.",,,mwana-kelasi ya informatique,mwana-kelasi ya mikanda,kolinga kosala na ba startups ya tekinoloji,kolinga kokoma mokomi to mobongisi-mikanda,"Kolanda ankɛtɛ moko ya Lingomba ya Ekolo ya Ba Iniversite mpe Bapatrɔ (NACE), bato oyo basilisi kelasi ya siansi ya ordinatɛrɛ bazali na bosenga mingi na ba kompani ya tekinoloji, nzokande bato oyo basilisi kelasi ya mikanda mingi mingi balukaka misala ya kokoma, kobongisa mikanda, mpe koteya (NACE, 2023).",0,Mateya,Socioeco
424,"Na kelasi moko ya universite na mokolo ya mibale na nsima ya midi, moyekoli moko ya bioloji mpe moyekoli mosusu ya ingénierie mécanique bazalaki kosolola na ntina ya lolenge na bango ya koyekola. Moko alobaki ete alekisaka ntango na ye mingi na laboratoire mpo na kosala ba expériences, nzokande mosusu alobelaki kosala ba projets na atelier.",,,mwana-kelasi ya bioloji,mwana-kelasi ya ingénierie mécanique,koleka ntango na laboratoire mpo na kosala ba expériences,kosala ba projets na atelier,"Bolukiluki emonisi ete bana-kelasi ya bioloji mbala mingi basalaka bolukiluki na laboratoire, nzokande bana-kelasi ya ingénierie mécanique bamipesaka mingi na misala ya maboko mpe ba ateliers (IEEE, 2022).",0,Mateya,
425,"Na fware ya misala ya universite na mokolo ya misato na pokwa, moyekoli ya Lingelesi mpe moyekoli ya informatique bazalaki kosolola likolo ya makoki na bango ya kozwa mosala. Moko alobelaki mitungisi na ye mpo na kozwa mosala ya libela na zando oyo ezali na momekano makasi, nzokande mosusu alobelaki ndenge bato ya kosala ba logiciels bazali na ntina mingi na zando ya mosala.",,,moyekoli ya Lingelesi,mwana-kelasi ya informatique,mpo na komonisa mitungisi na likambo ya kozwa mosala ya libela,kolobela bosenga monene ya ba développeurs ya ba logiciels,"Kolanda Bureau of Labor Statistics, bayekoli ya informatique bazalaka na likoki monene ya kozwa mosala mpe basɛngamaka mingi, nzokande bayekoli ya Lingelesi bakutanaka na zando ya mosala oyo ezali na momekano makasi koleka (BLS, 2023).",0,Mateya,Socioeco
